park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC
Weir Farm National Historic Site,WEFA,Weir House,NA,Non-Potable (NonPOT),NA,unknown groundwater,-73.4567,41.25759,"c(-73.4567, 41.25759)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Whiskeytown National Recreation Area,WHIS,UTIL - French Gulch Qtrs 515 Non-public Water System,French Gulch,Non-Public Water System (NP),45512,spring,-122.630026,40.725302,"c(-122.630026, 40.725302)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiskeytown National Recreation Area,WHIS,UTIL - OB Non-public Water System (Bldgs 318/321/324) (Well 333),NA,Non-Public Water System (NP),45513,unknown groundwater,-122.597685,40.653721,"c(-122.597685, 40.653721)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiskeytown National Recreation Area,WHIS,UTIL - Potable Water System to BLDG 507  Tenant House,Tenant House,Non-Public Water System (NP),45516,spring,-122.635764,40.661721,"c(-122.635764, 40.661721)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiskeytown National Recreation Area,WHIS,UTIL - Carr Powerhouse Water System,NA,Transient Non-Community Water System (TNC),CA4510503,river/stream,-122.626178,40.649182,"c(-122.626178, 40.649182)",WHISKEYTOWN NRA-CARR MEMORIAL,TNCWS,146,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Whiskeytown National Recreation Area,WHIS,UTIL - Whiskey Creek Water System,Whiskey Creek,Transient Non-Community Water System (TNC),CA4510504,deep groundwater,-122.545733,40.654359,"c(-122.545733, 40.654359)",WHISKEYTOWN NRA-WHISKEY CREEK,TNCWS,662,1,1,1,2,3,"<10,000","<=3,300",<10K,"501-3,300","501-1,000"
Whiskeytown National Recreation Area,WHIS,UTIL - Brandy Creek Water System,NA,Transient Non-Community Water System (TNC),CA4510505,deep groundwater,-122.586356,40.60104,"c(-122.586356, 40.60104)",WHISKEYTOWN NRA-BRANDY CREEK,TNCWS,2164,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Whiskeytown National Recreation Area,WHIS,UTIL - Brandy Creek Water System,NA,Transient Non-Community Water System (TNC),CA4510505,deep groundwater,-122.571997,40.616763,"c(-122.571997, 40.616763)",WHISKEYTOWN NRA-BRANDY CREEK,TNCWS,2164,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Whiskeytown National Recreation Area,WHIS,UTIL - Dry Creek Water System (Spring),NA,Non-Transient Non-Community Water System (NTNC),CA4510508,hauled,-122.594294,40.630583,"c(-122.594294, 40.630583)",WHISKEYTOWN NRA-DRY CREEK,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Whiskeytown National Recreation Area,WHIS,UTIL - Oak Bottom Public Water System,NA,Transient Non-Community Water System (TNC),CA4700593,shallow groundwater,-122.593553,40.651111,"c(-122.593553, 40.651111)",OAK BOTTOM CG & WC,TNCWS,32,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Whiskeytown National Recreation Area,WHIS,UTIL - Headquarters Water System,NA,Transient Non-Community Water System (TNC),CA5410506,lake/reservoir,-122.538429,40.597843,"c(-122.538429, 40.597843)",NPS SEQUOIA NP,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Whiskeytown National Recreation Area,WHIS,UTIL - Grizzly Gulch Water System,NA,Non-Public Water System (NP),NA,shallow groundwater,-122.605355,40.650631,"c(-122.605355, 40.650631)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Whiskeytown National Recreation Area,WHIS,UTIL - Tower House Water System,Tower House,Non-Potable (NonPOT),NA,unknown groundwater,-122.634566,40.663037,"c(-122.634566, 40.663037)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
